id,account,account_screenname,account_location,account_followers,account_following,account_age_days,account_description,is_retweet,original_author,tweeted_on,count_retweeted,count_favorited,hashtags,tweet_text
1298402774309208064,T Motz,Trudyand2,,130,1268,3496,,1,@ChanelRion,2020-08-25 23:31:59,198,0,," WATCH OAN FREE thru 2020!

Our friends at KlowdTV will be making the “FREE2020” package available worldwide NO CHARGE throu…"
1298402771356520456,Rita,lbpyyz,"Toronto, Ontario",5692,6256,2949,"Injustice is never justice/L’injustice n’est jamais la justice. #Resist Joanof Arc, Mme Fourcade ‘Non, je ne regrette rien’- Édith Piaf. Timeo ne verum💙 No dm.",1,@AndyOstroy,2020-08-25 23:31:58,55,0,, Only in @realDonaldTrump's racist America can a couple threaten peaceful black protestors with guns and then end up as feat…
1298402734534791169,Teri,Teri18439470,,2817,4996,797,,1,@ChanelRion,2020-08-25 23:31:49,198,0,," WATCH OAN FREE thru 2020!

Our friends at KlowdTV will be making the “FREE2020” package available worldwide NO CHARGE throu…"
1298402725441355776,Cindy DeRossett,cindyderossett,"Arizona, USA",1097,396,4130,🇺🇸❤️🤍💙✝️🙏⭐️,1,@ChanelRion,2020-08-25 23:31:47,198,0,," WATCH OAN FREE thru 2020!

Our friends at KlowdTV will be making the “FREE2020” package available worldwide NO CHARGE throu…"
1298402723856093191,Dew Schbag,Dew_Schbag,,87,188,3656,"In the end, its not the number of years in the life that count, its the number at the bottom of the balance sheet.",1,@Jorgensen4POTUS,2020-08-25 23:31:47,519,0,QualifiedImmunity," .@JoeBiden won't end #QualifiedImmunity, nor will he legalize marijuana. Why? Because both would jeopardize his and @K…"
1298402696278540288,🇺🇸 𝐀xE 🇺🇸,theaxereport,United States 🇺🇸 ,20661,18502,3161,"Vote @potus 2020 
Anyone who thinks my story is anywhere near over is sadly mistaken.- @realDonaldTrump
America First.",1,@ChanelRion,2020-08-25 23:31:40,198,0,," WATCH OAN FREE thru 2020!

Our friends at KlowdTV will be making the “FREE2020” package available worldwide NO CHARGE throu…"
1298402690280509441,baby calf,CalfBaby,,28,181,2238,,1,@ChanelRion,2020-08-25 23:31:39,198,0,," WATCH OAN FREE thru 2020!

Our friends at KlowdTV will be making the “FREE2020” package available worldwide NO CHARGE throu…"
1298402678951882753,Lessa 🇺🇸,Sinnersaint39,,581,541,4195,Defender of consumer rights.  Non-partisan indie.  Against group-think/authoritarianism/propaganda. For critical thinking/facts/logic/Freedom of Speech.,1,@MarylandNickG,2020-08-25 23:31:36,4,0,, If anyone Wondered what it lookec like back in nazi Germany this was us it. Next they will start shooting people who won…
1298402637545639938,Senior Boobies,SeniorBoobies,"Sunny South Florida, USA",13120,13178,1137,"I'm just a boob trying 2 make it and because boobs are fun! 
Actions speaks louder than political correctness -- @seniorboobies  PARLER: @seniorboobies",1,@ChanelRion,2020-08-25 23:31:26,198,0,," WATCH OAN FREE thru 2020!

Our friends at KlowdTV will be making the “FREE2020” package available worldwide NO CHARGE throu…"
1298402625373773824,Tara Obrien,TaraObri,,803,348,1640,,1,@ChanelRion,2020-08-25 23:31:23,198,0,," WATCH OAN FREE thru 2020!

Our friends at KlowdTV will be making the “FREE2020” package available worldwide NO CHARGE throu…"
1298402605064953858,Earlene,earlenepifer,,1069,1507,3345,,1,@ChanelRion,2020-08-25 23:31:18,198,0,," WATCH OAN FREE thru 2020!

Our friends at KlowdTV will be making the “FREE2020” package available worldwide NO CHARGE throu…"
1298402602338721792,Twatter Blows,TwatterBlows3,Nunya,4,62,40,Pissed off American #MAGA #CombatVeteran,1,@ChanelRion,2020-08-25 23:31:18,198,0,," WATCH OAN FREE thru 2020!

Our friends at KlowdTV will be making the “FREE2020” package available worldwide NO CHARGE throu…"
1298402585112649729,@aslan29212,aslan29212,"South Carolina, USA",2109,2304,1399,"Proud and Patriotic American! Love my God, my country and my family! ❤️ Widow of a vet #MAGA.  Honored to be followed by General Flynn",1,@ChanelRion,2020-08-25 23:31:14,198,0,," WATCH OAN FREE thru 2020!

Our friends at KlowdTV will be making the “FREE2020” package available worldwide NO CHARGE throu…"
1298402583971651586,小城故事,bingbing402,,2568,133,1143,反抗束缚，崇尚自由。热爱并敬畏大自然。“全民共振”支持者。,1,@ChanelRion,2020-08-25 23:31:13,198,0,," WATCH OAN FREE thru 2020!

Our friends at KlowdTV will be making the “FREE2020” package available worldwide NO CHARGE throu…"
