id,account,account_screenname,account_location,account_followers,account_following,account_age_days,account_description,is_retweet,original_author,tweeted_on,count_retweeted,count_favorited,hashtags,tweet_text
1298391957308284929,Joe Biden,JoeBiden,"Wilmington, DE",8878127,28,4915,"Senator, Vice President, 2020 candidate for President of the United States, husband to @DrBiden, proud father & grandfather. Loves ice cream, aviators & @Amtrak",0,JoeBiden,2020-08-25 22:49:00,6310,21944,,"Ignore the polls. There's simply too much on the line to take anything for granted.

Register to vote: https://t.co/Hy8C4n0lUk

Donate: https://t.co/3h4twQsQ4I

Volunteer: https://t.co/GCxsKwomFH

We can't let up until November. https://t.co/sdFA92hfcB"
1298382897695645696,Joe Biden,JoeBiden,"Wilmington, DE",8878127,28,4915,"Senator, Vice President, 2020 candidate for President of the United States, husband to @DrBiden, proud father & grandfather. Loves ice cream, aviators & @Amtrak",0,JoeBiden,2020-08-25 22:13:00,5305,17113,,"It's time for us, for We the People, to come together.

Because united, we can — and will — overcome this season of darkness in America. https://t.co/vbZ3JRQU84"
1298343890760732673,Joe Biden,JoeBiden,"Wilmington, DE",8878127,28,4915,"Senator, Vice President, 2020 candidate for President of the United States, husband to @DrBiden, proud father & grandfather. Loves ice cream, aviators & @Amtrak",0,JoeBiden,2020-08-25 19:38:00,8106,52310,,"70 days.

https://t.co/Hy8C4mIL2M https://t.co/ikyF4Nu9dC"
1298330301048016898,Joe Biden,JoeBiden,"Wilmington, DE",8878127,28,4915,"Senator, Vice President, 2020 candidate for President of the United States, husband to @DrBiden, proud father & grandfather. Loves ice cream, aviators & @Amtrak",0,JoeBiden,2020-08-25 18:44:00,14618,86446,,"Two years ago, we lost a genuine American hero, and to me, a true friend. John McCain never stopped pushing me and our nation to be better. I miss him dearly. https://t.co/0xzoqjDFlP"
1298098272037462016,Joe Biden,JoeBiden,"Wilmington, DE",8878127,28,4915,"Senator, Vice President, 2020 candidate for President of the United States, husband to @DrBiden, proud father & grandfather. Loves ice cream, aviators & @Amtrak",0,JoeBiden,2020-08-25 03:22:00,6819,30665,,"Just stay focused, folks.

Let’s get to work. Join our campaign: https://t.co/4oQNtuyuG7"
1298088960778842112,Joe Biden,JoeBiden,"Wilmington, DE",8878127,28,4915,"Senator, Vice President, 2020 candidate for President of the United States, husband to @DrBiden, proud father & grandfather. Loves ice cream, aviators & @Amtrak",0,JoeBiden,2020-08-25 02:45:00,45893,140364,,Donald Trump is unfit to lead our nation. But don’t just take my word for it... https://t.co/vdYcNWiNBk
1298082669247565825,Joe Biden,JoeBiden,"Wilmington, DE",8878127,28,4915,"Senator, Vice President, 2020 candidate for President of the United States, husband to @DrBiden, proud father & grandfather. Loves ice cream, aviators & @Amtrak",0,JoeBiden,2020-08-25 02:20:00,15071,64928,,.@realDonaldTrump it didn’t have to be this bad. https://t.co/aMhxaTXnpm
1298069196228759562,Joe Biden,JoeBiden,"Wilmington, DE",8878127,28,4915,"Senator, Vice President, 2020 candidate for President of the United States, husband to @DrBiden, proud father & grandfather. Loves ice cream, aviators & @Amtrak",0,JoeBiden,2020-08-25 01:26:27,27027,112625,,The only person responsible for our failed COVID response is Donald Trump. https://t.co/W8mrzqvInz
1298054987394629633,Joe Biden,JoeBiden,"Wilmington, DE",8878127,28,4915,"Senator, Vice President, 2020 candidate for President of the United States, husband to @DrBiden, proud father & grandfather. Loves ice cream, aviators & @Amtrak",0,JoeBiden,2020-08-25 00:30:00,10879,37692,,"Together, united in our love for America and each other, we’ll overcome this season of darkness and restore the soul of our nation. https://t.co/9dPuQVa3CQ"
1298045927148539904,Joe Biden,JoeBiden,"Wilmington, DE",8878127,28,4915,"Senator, Vice President, 2020 candidate for President of the United States, husband to @DrBiden, proud father & grandfather. Loves ice cream, aviators & @Amtrak",0,JoeBiden,2020-08-24 23:54:00,7890,42779,,"This moment is bigger than any one political party. We've got to come together as Americans to save our democracy and restore the soul of our nation. Thank you, Senator @JeffFlake. https://t.co/3cAnE1yf0J"
