id,account,account_screenname,account_location,account_followers,account_following,account_age_days,account_description,is_retweet,original_author,tweeted_on,count_retweeted,count_favorited,hashtags,tweet_text
1298404245629284354,Donald J. Trump,realDonaldTrump,"Washington, DC",85576746,50,4178,45th President of the United States of America🇺🇸,0,realDonaldTrump,2020-08-25 23:37:49,8136,25948,,80 Million Unsolicited Ballots are impossible for election centers to tabulate accurately. The Democrats know this better than anyone else. The fraud and abuse will be an embarrassment to our Country. Hopefully the Courts will stop this scam!
1298326201023582212,Donald J. Trump,realDonaldTrump,"Washington, DC",85576746,50,4178,45th President of the United States of America🇺🇸,1,@nolaready,2020-08-25 18:27:42,2784,0,"Laura,NOLA"," Primary threat from #Laura in #NOLA is storm surge outside the levee system. Could also see heavy rain, wind &amp; tornadoes if…"
1298322374916476930,Donald J. Trump,realDonaldTrump,"Washington, DC",85576746,50,4178,45th President of the United States of America🇺🇸,1,@NWS,2020-08-25 18:12:30,3398,0,Laura, Heads up! Today is the last day to prepare for Hurricane #Laura. Evacuation zones are based on potential storm surge. If an evacua…
1298312553827885056,Donald J. Trump,realDonaldTrump,"Washington, DC",85576746,50,4178,45th President of the United States of America🇺🇸,1,@fema,2020-08-25 17:33:28,2644,0,Laura, Hurricane #Laura is moving quickly.  Be sure to follow @NHC_Atlantic for the latest updates &amp; heed instructions from your local o…
1298312381836255233,Donald J. Trump,realDonaldTrump,"Washington, DC",85576746,50,4178,45th President of the United States of America🇺🇸,1,@GovAbbott,2020-08-25 17:32:47,3139,0,HurricaneLaura," Texans should heed guidance from local officials as #HurricaneLaura approaches.

Local mandatory evacuations: Jefferson Coun…"
1298312302165401605,Donald J. Trump,realDonaldTrump,"Washington, DC",85576746,50,4178,45th President of the United States of America🇺🇸,1,@TDEM,2020-08-25 17:32:28,2526,0,"HurricaneLaura,Texas"," Deadly storm surge will accompany #HurricaneLaura in some areas along the coast.  

Residents of the Upper #Texas coastlines shou…"
1298307828789194752,Donald J. Trump,realDonaldTrump,"Washington, DC",85576746,50,4178,45th President of the United States of America🇺🇸,0,realDonaldTrump,2020-08-25 17:14:42,15301,58400,,...They must stop calling these anarchists and agitators “peaceful protestors”. Come back into the real world! The Federal Government is ready to end this problem immediately upon your request.
1298307827837145088,Donald J. Trump,realDonaldTrump,"Washington, DC",85576746,50,4178,45th President of the United States of America🇺🇸,0,realDonaldTrump,2020-08-25 17:14:42,19997,71026,,"We again request Kate Brown (@OregonGovBrown), the Governor of Oregon, and Mayor @TedWheeler of Portland, to call up the National Guard like should have been done 3 months ago..."
1298296592764735490,Donald J. Trump,realDonaldTrump,"Washington, DC",85576746,50,4178,45th President of the United States of America🇺🇸,0,realDonaldTrump,2020-08-25 16:30:03,21152,102881,,I am pleased to inform the American Public that Acting Secretary Chad Wolf will be nominated to be the Secretary of Homeland Security. Chad has done an outstanding job and we greatly appreciate his service!
1298283961551138817,Donald J. Trump,realDonaldTrump,"Washington, DC",85576746,50,4178,45th President of the United States of America🇺🇸,0,realDonaldTrump,2020-08-25 15:39:52,9776,48204,,"...More JOBS from Eastport, Cutler, &amp; Jonesport to Stonington, Friendship, and Casco Bay. I am proud to help the great people of Maine!"
